2020-11-24 09:58:10.755 DEBUG 12696 --- [XNIO-1 task-41] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 09:58:10.755 DEBUG 12696 --- [XNIO-1 task-40] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:02:45.379 DEBUG 12696 --- [XNIO-1 task-44] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:02:45.383 DEBUG 12696 --- [XNIO-1 task-48] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:02:45.384 DEBUG 12696 --- [XNIO-1 task-47] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:02:45.383 DEBUG 12696 --- [XNIO-1 task-46] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:02:52.444 DEBUG 12696 --- [XNIO-1 task-50] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:02:52.448 DEBUG 12696 --- [XNIO-1 task-51] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:02:52.449 DEBUG 12696 --- [XNIO-1 task-52] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:02:52.449 DEBUG 12696 --- [XNIO-1 task-54] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:06:11.226 DEBUG 12696 --- [XNIO-1 task-56] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:06:11.228 DEBUG 12696 --- [XNIO-1 task-57] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:06:11.229 DEBUG 12696 --- [XNIO-1 task-59] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:06:11.229 DEBUG 12696 --- [XNIO-1 task-60] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:08:14.384 DEBUG 12696 --- [XNIO-1 task-62] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:08:14.392 DEBUG 12696 --- [XNIO-1 task-63] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:08:14.393 DEBUG 12696 --- [XNIO-1 task-64] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
